Time,Unix,Text
17:26:56.920,1767306416.921748,so
17:26:56.965,1767306416.9676793,I
17:26:57.041,1767306417.0433846,think
17:26:57.372,1767306417.3740094,this will
17:26:57.627,1767306417.6300755,work
17:26:57.691,1767306417.693519,for
17:26:58.039,1767306418.0415688,a little
17:26:58.104,1767306418.105631,bit
17:26:58.546,1767306418.547865,and
17:26:58.917,1767306418.918848,then it
17:26:58.979,1767306418.9802053,'ll
17:26:59.249,1767306419.249491,run
17:26:59.312,1767306419.3135424,out
17:27:00.217,1767306420.2201407,and to
17:27:00.490,1767306420.4910915,ss
17:27:00.756,1767306420.7585547,it
17:27:01.026,1767306421.0281162,to
